Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P036007,Latin America and Caribbean,Republic of Trinidad and Tobago,Closed,Environmental Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P036007,1995-03-30T00:00:00Z,12/31/2000,,,10500000,,,10500000,,,Specific Investment Loan,C,,Central Government (Central Agencies),,,,
P008222,Latin America and Caribbean,Republica Bolivariana de Venezuela,Closed,Agricultural Extension Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008222,1995-03-28T00:00:00Z,12/31/2003,,,79000000,,,79000000,,,Specific Investment Loan,C,,"Agricultural Extension, Research, and Other Support Activities",,,,
P007399,Latin America and Caribbean,Republic of Honduras,Closed,Basic Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007399,1995-03-28T00:00:00Z,12/31/2001,,,53100000,,,53100000,,,Specific Investment Loan,C,,Primary Education,Central Government (Central Agencies),Tertiary Education,,
P007396,Latin America and Caribbean,Republic of Honduras,Closed,Environmental Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007396,1995-03-28T00:00:00Z,1/31/2001,,,12500000,,,12500000,,,Specific Investment Loan,B,,Central Government (Central Agencies),Sub-National Government,Social Protection,,
P007318,Latin America and Caribbean,Republic of Haiti,Closed,Road Maintenance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007318,1995-03-23T00:00:00Z,12/31/2001,,,125000000,,,125000000,,,Sector Investment and Maintenance Loan,B,,Roads and highways,Central Government (Central Agencies),,,
P006060,Latin America and Caribbean,Argentine Republic,Closed,Municipal Development Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006060,1995-03-23T00:00:00Z,6/30/2005,,,600000000,,,600000000,,,Specific Investment Loan,B,,Other Transportation,Sub-National Government,Sanitation,,
P008161,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Health Sector Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008161,1995-03-21T00:00:00Z,6/28/2002,,,23000000,,,23000000,,,Specific Investment Loan,C,,Central Government (Central Agencies),Health,,,
P007928,Latin America and Caribbean,Republic of Peru,Closed,National Trust Fund for Protected Areas (GEF),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007928,1995-03-20T00:00:00Z,6/30/1996,,,5000000,,,5000000,0,,Specific Investment Loan,C,,"Other Agriculture, Fishing and Forestry",,,,
P035080,Latin America and Caribbean,Republic of Nicaragua,Closed,Institutional Development Credit (IDC) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P035080,1995-03-16T00:00:00Z,12/31/2001,,,33500000,,,33500000,,,Technical Assistance Loan,C,,Central Government (Central Agencies),Other Public Administration,,,
P007783,Latin America and Caribbean,Republic of Nicaragua,Closed,Basic Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007783,1995-03-16T00:00:00Z,12/31/2000,,,39300000,,,39300000,,,Sector Investment and Maintenance Loan,C,,Primary Education,Central Government (Central Agencies),Early Childhood Education,,
P007926,Latin America and Caribbean,Republic of Paraguay,Closed,Asuncion Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007926,1995-02-14T00:00:00Z,12/31/2003,,,87900000,,,87900000,,,Specific Investment Loan,A,,Sewerage,Water Supply,,,
P007846,Latin America and Caribbean,Republic of Panama,Closed,PA RURAL HEALTH,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007846,1995-02-07T00:00:00Z,6/30/2003,,,41700000,,,41700000,,,Specific Investment Loan,C,,Health,Water Supply,Sanitation,,
P035714,Latin America and Caribbean,Republica Bolivariana de Venezuela,Closed,Montreal Protocol - FAACA Auto Air Conditioning CFC 12 to HFC 134a Conversion,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P035714,1995-02-07T00:00:00Z,12/31/1996,,,3700000,,,3700000,0,,Specific Investment Loan,B,,(Historic)Other finance,,,,
P038698,Latin America and Caribbean,St. Lucia,Closed,Basic Education Reform Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P038698,1995-01-24T00:00:00Z,12/31/2000,,,13700000,,,13700000,,,Specific Investment Loan,C,,Secondary Education,Primary Education,Tertiary Education,,
P034161,Latin America and Caribbean,United Mexican States,Closed,Financial Sector Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P034161,1995-01-24T00:00:00Z,6/30/2000,,,49100000,,,49100000,,,Technical Assistance Loan,C,,Law and Justice,Central Government (Central Agencies),,,
P006035,Latin America and Caribbean,Argentine Republic,Closed,Provincial Reform Loan,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006035,1995-01-24T00:00:00Z,6/30/1998,,,300000000,,,300000000,,,Structural Adjustment Loan,U,,Sub-National Government,Central Government (Central Agencies),Banking Institutions,,
P006661,Latin America and Caribbean,Republic of Chile,Closed,Road Sector Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006661,1994-12-22T00:00:00Z,12/31/2002,,,3228900000,,,3228900000,,,Specific Investment Loan,B,,Roads and highways,,,,
