Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Last Stage Reached,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P007356,Latin America and Caribbean,Republic of Honduras,Closed,Tourism Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007356,1979-03-20T00:00:00Z,12/31/1987,,,,,,,,,Financial Intermediary Loan,,,(Historic)Other urban development,,,,
P006297,Latin America and Caribbean,Federative Republic of Brazil,Closed,Valesul Aluminium Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006297,1979-03-06T00:00:00Z,1/31/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Other industry,,,,
P007354,Latin America and Caribbean,Republic of Honduras,Closed,Industrial Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007354,1979-02-06T00:00:00Z,12/31/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006302,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Water Supply and Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006302,1979-01-30T00:00:00Z,12/31/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban water supply,,,,
P006300,Latin America and Caribbean,Federative Republic of Brazil,Closed,Sites and Services and Low-Cost Housing Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006300,1979-01-23T00:00:00Z,12/31/1984,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Urban housing,,,,
P006985,Latin America and Caribbean,Dominican Republic,Closed,Nizao Irrigation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006985,1979-01-23T00:00:00Z,12/31/1987,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P007552,Latin America and Caribbean,United Mexican States,Closed,Small Scale Agricultural Infrastructure Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007552,1978-12-21T00:00:00Z,6/30/1985,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P007057,Latin America and Caribbean,Republic of Ecuador,Closed,Tungurahua Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007057,1978-12-21T00:00:00Z,12/31/1987,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P006071,Latin America and Caribbean,Barbados,Closed,Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006071,1978-12-19T00:00:00Z,9/30/1985,,,,,,,,,Specific Investment Loan,,,Primary Education,,,,
P007808,Latin America and Caribbean,Republic of Panama,Closed,Development Banking Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007808,1978-12-19T00:00:00Z,6/30/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006757,Latin America and Caribbean,Republic of Colombia,Closed,Mesitas Hydroelectric Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006757,1978-11-14T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P007355,Latin America and Caribbean,Republic of Honduras,Closed,Nispero Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007355,1978-11-14T00:00:00Z,6/30/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P007963,Latin America and Caribbean,Republic of Peru,Closed,Water Supply and Power Engineering Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007963,1978-10-31T00:00:00Z,12/31/1983,,,,,,,,,Technical Assistance Loan,,,(Historic)Other water supply and sanitation,,,,
P006759,Latin America and Caribbean,Republic of Colombia,Closed,Aviation Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006759,1978-10-10T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Other transportation,,,,
P007236,Latin America and Caribbean,Co-operative Republic of Guyana,Closed,Import Program Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007236,1978-10-10T00:00:00Z,6/30/1979,,,,,,,,,Structural Adjustment Loan,,,(Historic)Economic management,,,,
P007235,Latin America and Caribbean,Co-operative Republic of Guyana,Closed,Upper Demerara Forestry Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007235,1978-10-10T00:00:00Z,8/31/1990,,,,,,,,,Specific Investment Loan,,,Forestry,,,,
P007551,Latin America and Caribbean,United Mexican States,Closed,RIO PANUCO SUPPLEMEN,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007551,1978-07-11T00:00:00Z,,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P007423,Latin America and Caribbean,Jamaica,Closed,Small Scale Enterprise Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007423,1978-07-06T00:00:00Z,6/30/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P007189,Latin America and Caribbean,Republic of Guatemala,Closed,Chixoy Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007189,1978-06-29T00:00:00Z,12/31/1989,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P006916,Latin America and Caribbean,Republic of Costa Rica,Closed,Industrial Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006916,1978-06-15T00:00:00Z,6/30/1985,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006749,Latin America and Caribbean,Republic of Colombia,Closed,Development Finance Companies Project (07),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006749,1978-06-15T00:00:00Z,3/31/1983,,,,,,,,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P006750,Latin America and Caribbean,Republic of Colombia,Closed,Cartagena Industrial Export Processing Zone Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006750,1978-06-13T00:00:00Z,12/31/1986,,,,,,,,,Financial Intermediary Loan,,,(Historic)Other industry,,,,
P008122,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Vocational Training and Technological Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008122,1978-06-13T00:00:00Z,6/30/1986,,,,,,,,,Specific Investment Loan,,,Vocational training,,,,
P006287,Latin America and Caribbean,Federative Republic of Brazil,Closed,Bahia Rural Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006287,1978-06-06T00:00:00Z,12/31/1985,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Agriculture adjustment,,,,
P007234,Latin America and Caribbean,Co-operative Republic of Guyana,Closed,Black Bush Irrigation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007234,1978-06-06T00:00:00Z,12/31/1984,,,,,,,,,Specific Investment Loan,,,Irrigation and Drainage,,,,
P006131,Latin America and Caribbean,Plurinational State of Bolivia,Closed,Highway Maintenance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006131,1978-06-01T00:00:00Z,12/31/1986,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Highways,,,,
P006752,Latin America and Caribbean,Republic of Colombia,Closed,San Carlos Hydropower Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006752,1978-05-30T00:00:00Z,6/30/1986,,,,,,,,,Specific Investment Loan,,,(Historic)Hydro,,,,
P006753,Latin America and Caribbean,Republic of Colombia,Closed,500KV Interconnection Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006753,1978-05-30T00:00:00Z,12/31/1986,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Distribution and transmission,,,,
P007352,Latin America and Caribbean,Republic of Honduras,Closed,Guayape Regional Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007352,1978-05-23T00:00:00Z,12/30/1984,,,,,,,,,Specific Investment Loan,,,(Historic)Agriculture adjustment,,,,
P007278,Latin America and Caribbean,Republic of Haiti,Closed,Transport Project (05),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007278,1978-05-18T00:00:00Z,6/30/1983,,,,,,,,,Specific Investment Loan,,,(Historic)Highways,,,,
P007154,Latin America and Caribbean,Republic of El Salvador,Closed,Telecommunications Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007154,1978-05-18T00:00:00Z,12/31/1984,,,,,,,,,Sector Investment and Maintenance Loan,,,(Historic)Telecommunications and informatics,,,,
