"project.id","country","p.invest","p.year","environmental","other"
"p173984"," bolivia",0,2021,1,0
"p171190"," ecuador",0,2020,1,0
"p169140","  brazil",0,2026,0,1
"p173872"," el salvador",7e+07,2023,0,1
"p173861"," honduras",2e+07,2023,0,1
"p172567"," honduras",0,2023,1,0
"p170658"," peru",0,2024,0,1
"p173773"," ecuador",2e+07,2024,0,1
"p173811"," haiti",5.5e+07,2024,0,1
"p173767","argentina ",3.5e+07,2024,0,1
"p173805"," paraguay",2e+07,2023,0,1
"p172352"," costa rica",0,2026,0,1
"p170477"," peru",0,2021,0,1
"p168475"," costa rica",0,2027,1,0
"p170682","  brazil",0,2026,1,0
"p169134","  brazil",0,2026,0,1
"p169161"," honduras",0,2025,0,1
"p169505"," paraguay",0,2023,1,0
"p168153"," paraguay",0,2026,0,1
"p169866"," colombia",0,2023,0,1
"p170223","jamaica",0,2021,1,0
"p171316"," el salvador",2.5e+08,2026,1,0
"p169677"," el salvador",0,2026,1,0
"p170445","st lucia",0,2025,0,1
"p168951"," haiti",0,2027,0,1
"p170728"," colombia",0,2021,0,1
"p164389","mexico",0,2025,1,0
"p165861"," bolivia",0,2025,0,1
"p169959","mexico",0,2025,0,1
"p170595"," peru",0,2024,0,1
"p171465","grenada",0,2023,1,0
"p162278"," peru",0,2025,0,1
"p172619","sint maarten",3624000,2020,1,0
"p167748","grenada",0,2020,0,1
"p160277"," chile",2.6e+07,2025,1,0
"p166279","jamaica",0,2025,1,0
"p167767"," honduras",2722200,2024,0,1
"p167974","sint maarten",1.29e+08,2023,1,0
"p170329","argentina ",0,2024,1,0
"p167588","grenada",0,2024,0,1
"p168539","organization of eastern caribbean states",40600000,2024,0,1
"p169919"," colombia",4e+05,2022,1,0
"p167830"," colombia",0,2023,1,0
"p165055","  brazil",0,2026,1,0
"p167958","dominican ",6e+05,2023,0,1
"p170670"," paraguay",350000,2020,1,0
"p167455","  brazil",0,2025,1,0
"p168713","argentina ",0,2020,0,1
"p166187"," suriname",0,2025,0,1
"p168911","argentina ",3.41e+08,2023,0,1
"p170469"," honduras",0,2025,1,0
"p168385"," honduras",0,2024,1,0
"p167674","mexico",0,2020,0,1
"p169822"," ecuador",0,2019,1,0
"p165220","st vincent and  grenadines",3e+07,2019,1,0
