"project.id","country","p.invest","p.year","environmental","other"
"p093787","  brazil",7.5e+07,2014,1,0
"p089440","  brazil",117148490,2011,1,0
"p091695","mexico",55200000,2010,1,0
"p066537","  brazil",7e+05,2009,1,0
"p082523","  brazil",1.3e+07,2009,1,0
"p088030","  guyana",12300000,2011,1,0
"p093640"," haiti",40300000,2013,0,1
"p088732","mexico",1.4e+08,2010,1,0
"p078813"," peru",2e+08,2014,0,1
"p082142","  brazil",649750000,2007,0,1
"p088319"," honduras",16500000,2013,0,1
"p082242"," honduras",23600000,2013,1,0
"p081516"," honduras",1.6e+07,2011,1,0
"p086775"," honduras",54800000,2016,1,0
"p094365"," guatemala",1e+08,2006,0,1
"p088498"," chile",100130000,2010,0,1
"p082412"," chile",30160000,2006,0,1
"p086689"," chile",6e+06,2011,1,0
"p092836","argentina ",37500000,2012,0,1
"p088752"," colombia",1.1e+07,2016,1,0
"p076170"," colombia",2127085,2005,0,1
"p082167"," colombia",3.2e+07,2011,1,0
"p066536","  brazil",7e+05,2010,1,0
"p088009","  brazil",19522700,2011,1,0
"p081397"," colombia",1.5e+08,2006,1,0
"p078716","  brazil",502520000,2006,1,0
"p081743"," chile",65950000,2013,1,0
"p077676","  uruguay",1e+07,2012,1,0
"p095028","  uruguay",325380000,2006,0,1
"p057481","  uruguay",1e+08,2011,0,1
"p070653","  uruguay",93850000,2012,1,0
"p093936"," haiti",2e+06,2009,1,0
"p070628","argentina ",2.86e+08,2017,0,1
"p064910"," el salvador",1.2e+07,2012,1,0
"p086525","  brazil",658300000,2006,1,0
"p075379","  brazil",14590000,2011,1,0
"p091365"," bolivia",1.5e+07,2006,1,0
"p083051"," bolivia",71950000,2014,0,1
"p089865","mexico",441230000,2010,1,0
"p094416","st lucia",7700000,2009,1,0
"p088448","organization of eastern caribbean states",2700000,2011,0,1
"p092834"," peru",1500000,2015,1,0
"p082429"," colombia",2.51e+08,2013,1,0
"p082712","dominican ",1.5e+08,2009,1,0
"p075502","a bolivariana de venezuela",6e+06,2009,1,0
"p068730","  brazil",6553000,2008,1,0
"p088973","st vincent and  grenadines",97449,2005,1,0
"p088220","argentina ",2.4e+08,2012,1,0
"p039994"," paraguay",1.5e+07,2006,0,1
"p080961"," paraguay",6330000,2010,1,0
"p078991"," nicaragua",82200000,2010,1,0
"p094450"," honduras",2.59e+08,2006,0,1
"p087036"," paraguay",8300000,2009,0,1
"p082588"," peru",43120000,2010,1,0
"p057857"," costa rica",5.1e+07,2013,0,1
"p082243","central america",8100000,2010,0,1
"p084762"," colombia",1e+08,2005,1,0
"p082973"," colombia",93400000,2011,1,0
"p088546","mexico",9460000,2017,1,0
"p086953"," el salvador",55800000,2011,1,0
"p083856"," ecuador",4.2e+08,2005,0,1
"p093133"," el salvador",1e+08,2005,0,1
"p083311"," honduras",2.5e+07,2009,1,0
"p083132","mexico",5e+05,2007,0,1
"p090159"," haiti",19400000,2011,1,0
"p089873"," haiti",8.3e+07,2006,1,0
"p093594","  brazil",1064000,2008,1,0
"p069672","  brazil",5e+06,2001,1,0
"p077047","  brazil",1330000,2008,1,0
"p076807"," chile",90260000,2011,1,0
"p116720"," ecuador",4e+06,2013,0,1
"p075219","central america",11500000,2010,1,0
"p088934","argentina ",542076,2015,1,0
"p076924","  brazil",27810000,2010,1,0
"p083968"," peru",1064600000,2005,0,1
"p088032","argentina ",333670000,2015,0,1
"p083949"," peru",1e+08,2005,0,1
"p081954"," peru",16700000,2013,1,0
"p088256"," honduras",1400000,2015,0,1
"p092692","grenada",1e+07,2009,1,0
"p088080","mexico",7770000,2008,0,1
"p082865"," colombia",2e+08,2005,0,1
"p088857"," colombia",2e+06,2009,1,0
"p069934","  brazil",52500000,2010,1,0
"p082597"," colombia",1e+08,2005,1,0
"p089324","  guyana",32919857,2012,0,1
"p082625"," peru",8180000,2011,0,1
"p078990"," nicaragua",1.5e+07,2011,1,0
"p080829","  brazil",502520000,2004,0,1
"p088809"," peru",8300000,2010,1,0
"p078953"," peru",7800000,2009,0,1
"p083533","  brazil",14400000,2010,1,0
"p076795","st lucia",7900000,2010,0,1
"p076799","st vincent and  grenadines",7e+06,2011,1,0
"p087711","  brazil",62300000,2011,1,0
"p085851","mexico",1.7e+09,2007,1,0
"p074755","mexico",37500000,2011,0,1
"p082328","  brazil",49070000,2009,1,0
"p088153","argentina ",308100000,2010,0,1
"p087152","mexico",159672500,2012,0,1
"p087841"," bolivia",2.5e+07,2004,0,1
"p086664","st vincent and  grenadines",9500000,2011,1,0
"p077187","latin america",34930000,2011,1,0
"p083982","argentina ",1e+09,2006,1,0
"p083851"," honduras",12850000,2010,1,0
"p064914"," honduras",32760000,2012,1,0
"p074758"," honduras",58800000,2005,0,1
"p085302"," ecuador",2.4e+07,2008,0,1
"p086469","st lucia",8900000,2011,1,0
"p087713","  brazil",7194900000,2009,0,1
"p077257"," ecuador",44965000,2009,1,0
"p051306"," colombia",3e+07,2014,1,0
"p082466"," colombia",4.64e+08,2012,1,0
"p070371","mexico",1e+08,2004,0,1
"p080149","mexico",3e+08,2009,1,0
"p078220"," colombia",9.8e+07,2019,1,0
"p073267","organization of eastern caribbean states",7571000,2011,1,0
"p080830","  brazil",4e+07,2008,1,0
"p077826"," nicaragua",80770000,2012,0,1
"p083013","  brazil",2e+08,2009,1,0
"p068124","  uruguay",21160000,2011,1,0
"p083244"," honduras",16700000,2010,1,0
"p071025","argentina ",135800000,2010,1,0
"p076722","  guyana",5e+07,2010,0,1
"p078891"," nicaragua",48500000,2010,0,1
"p080721","caribbean",29400000,2010,1,0
"p073438"," peru",15200000,2010,1,0
"p055991"," honduras",38900000,2010,0,1
"p080827","  brazil",745050000,2004,1,0
"p085433","dominican ",3e+08,2005,1,0
"p078838","dominican ",114540000,2011,1,0
"p082715","dominican ",1.1e+07,2010,1,0
"p082781"," bolivia",3e+07,2006,1,0
"p078841"," dominica",3e+06,2004,1,0
"p082885"," nicaragua",7.6e+07,2006,1,0
"p078143","argentina ",1640000,2007,1,0
"p082037"," chile",10710000,2013,0,1
"p087661"," bolivia",169500000,2004,1,0
"p086543"," paraguay",8e+07,2004,1,0
"p060573","  brazil",1e+08,2011,1,0
"p035752","mexico",528030303,2009,0,1
"p074021"," peru",7930000,2010,1,0
"p035740"," peru",142300000,2011,1,0
"p035751","mexico",28900000,2008,1,0
"p082871"," peru",1.5e+08,2004,0,1
"p078088"," chile",2e+08,2007,0,1
"p073985"," chile",13985452,2009,1,0
"p083905"," colombia",168300000,2004,0,1
"p078951"," peru",1.5e+08,2004,0,1
"p072637","argentina ",2.95e+09,2007,0,1
"p070038"," honduras",35232408,2010,1,0
"p079060"," colombia",1.85e+09,2004,0,1
"p077757"," colombia",21400000,2006,0,1
"p087979"," guatemala",1,2024,0,1
"p073526"," paraguay",26500000,2009,0,1
"p068290","mexico",100800000,2008,0,1
"p070827","  brazil",1e+08,2007,0,1
"p077759","grenada",11300000,2011,1,0
"p075528"," trinidad and tobago",2.5e+07,2010,1,0
"p076802","dominican ",42071000,2009,1,0
"p080400","  brazil",2e+08,2007,1,0
"p040177"," honduras",1.1e+07,2013,0,1
"p076977","  brazil",20120000,2010,1,0
"p073367"," bolivia",22400000,2011,1,0
"p081402"," bolivia",2.5e+07,2004,0,1
"p082700"," bolivia",3.5e+07,2004,0,1
"p070641","  brazil",404040000,2003,0,1
"p054119","  brazil",5e+07,2009,0,1
"p074655","mexico",805060000,2005,0,1
"p091254"," colombia",1100000,2007,0,1
"p077788"," peru",2.9e+07,2008,0,1
"p055232"," peru",94200000,2007,0,1
"p064883"," guatemala",47600000,2004,1,0
"p082739"," ecuador",5e+07,2003,0,1
"p082395"," ecuador",5e+07,2003,1,0
"p083074","argentina ",5e+08,2003,1,0
"p077282"," chile",50260000,2007,0,1
"p081172"," honduras",13350000,2009,1,0
"p073246"," nicaragua",18965620,2011,1,0
"p075194"," nicaragua",4020000,2011,1,0
"p055085"," guatemala",63720000,2013,0,1
"p049265","  brazil",8.4e+07,2011,1,0
"p078869"," colombia",1.5e+08,2003,0,1
"p073389","caribbean",10950000,2009,1,0
"p078726","  uruguay",151500000,2007,1,0
"p081495","  uruguay",101020000,2005,0,1
"p080831"," colombia",3e+08,2003,0,1
"p074760"," nicaragua",1.5e+07,2003,0,1
"p068250"," peru",32810000,2010,1,0
"p074726"," colombia",302670000,2014,1,0
"p081834"," peru",29400000,2009,1,0
"p080746","  brazil",505050000,2003,0,1
"p073578","argentina ",1.987e+09,2006,0,1
"p076798","st kitts and nevis",4510000,2009,1,0
"p074138"," colombia",287720000,2008,1,0
"p073851","  guyana",1.2e+07,2004,0,1
"p074762","  guyana",5289000,2007,1,0
"p078310","  brazil",1.25e+08,2007,1,0
"p074426"," colombia",2.1e+07,2020,1,0
"p076421"," costa rica",8863000,2019,1,0
"p066752"," ecuador",36694000,2007,1,0
"p059161","mexico",12200000,2009,1,0
"p073756","jamaica",7.5e+07,2002,0,1
"p071589","jamaica",6.3e+07,2009,0,1
"p076837","jamaica",29650000,2008,0,1
"p077044","  brazil",1650000,2005,0,1
"p073817"," peru",1e+08,2002,1,0
"p054937","dominican ",6.3e+07,2011,0,1
"p075871","  brazil",51300000,2024,0,1
"p065256"," peru",8e+07,2013,1,0
"p080263","  uruguay",151520000,2004,0,1
"p058503","  brazil",81500000,2008,1,0
"p077172","  uruguay",151520000,2004,0,1
"p074539","mexico",202020000,2003,0,1
"p069861"," colombia",5.45e+08,2002,0,1
"p064919"," el salvador",24050000,2010,0,1
"p076715","grenada",7220000,2009,1,0
"p074777","  brazil",1e+07,2009,1,0
"p060686","mexico",642800000,2006,0,1
"p070108","mexico",85400000,2011,1,0
"p078280"," peru",45238.9,2003,0,1
"p066170","  brazil",3e+07,2010,0,1
"p076853"," guatemala",5900000,2009,0,1
"p074530"," guatemala",3.5e+08,2007,0,1
"p056018"," nicaragua",45298275,2013,0,1
"p077602","mexico",8.2e+07,2007,0,1
"p074750","mexico",303040000,2003,0,1
"p068121","latin america",26760000,2009,1,0
"p057653","  brazil",3.2e+08,2008,0,1
"p077712","st lucia",19150000,2008,1,0
"p066259","  brazil",404040000,2002,1,0
"p076905","  brazil",1054550000,2002,1,0
"p075978","st kitts and nevis",6970000,2009,0,1
"p087390"," ecuador",1780000,2006,0,1
"p069923","st vincent and  grenadines",6810000,2006,1,0
"p070552","  brazil",32857000,2009,1,0
"p053575"," honduras",3.1e+07,2010,0,1
"p043869","  brazil",107500000,2009,1,0
"p070937","  uruguay",91910000,2012,0,1
"p068968"," bolivia",2.84e+08,2011,1,0
"p074641","jamaica",31500000,2008,1,0
"p074218"," ecuador",18840000,2009,0,1
"p057531","mexico",741100000,2004,0,1
"p069269"," paraguay",11182900,2008,0,1
"p068271"," chile",150750000,2009,0,1
"p057665","  brazil",1.36e+08,2007,0,1
"p066175"," guatemala",33200000,2011,0,1
"p077680"," dominica",3900000,2005,1,0
"p077687","st lucia",7400000,2005,1,0
"p076822","st vincent and  grenadines",3800000,2005,1,0
"p077684","st kitts and nevis",5200000,2005,1,0
"p077682","grenada",4500000,2006,1,0
"p069259"," chile",33500000,2007,0,1
"p065988","mexico",60120000,2010,1,0
"p074619"," chile",3500000,2022,1,0
"p074085","  brazil",2.8e+07,2006,0,1
"p041642"," colombia",27320000,2008,1,0
"p051696","  brazil",933900000,2011,0,1
"p006572","  brazil",4.2e+07,2008,1,0
"p070244","st lucia",8360000,2008,1,0
"p076830","jamaica",1.75e+08,2002,1,0
"p073572"," colombia",8e+08,2003,0,1
"p067986"," el salvador",165700000,2011,1,0
"p060221","  brazil",193800000,2010,0,1
"p072527"," ecuador",2840000,2008,0,1
"p063644"," ecuador",43210000,2008,0,1
"p057369"," colombia",6666000,2006,0,1
"p070374","argentina ",6720000,2006,0,1
"p065937"," colombia",7e+07,2010,1,0
"p057692"," colombia",6350000,2004,0,1
"p060577","mexico",10600000,2005,0,1
"p067774","jamaica",77500000,2009,0,1
"p073192","  brazil",18100000,2008,0,1
"p073591","argentina ",4e+08,2003,0,1
"p055954","  brazil",1.3e+08,2006,1,0
"p055844"," panama",13510000,2010,1,0
"p074543","  uruguay",2.4e+07,2009,1,0
"p057859"," honduras",6035105.2,2005,1,0
"p069913","argentina ",3.3e+08,2006,1,0
"p073892"," costa rica",23500000,2009,1,0
"p039437"," ecuador",41960000,2007,0,1
"p075220","barbados",23650000,2007,0,1
"p074212"," bolivia",6.2e+07,2008,1,0
"p071505","dominican ",3e+07,2008,1,0
"p050880","  brazil",4e+07,2010,0,1
"p050495","a bolivariana de venezuela",60300000,2006,0,1
"p050875","  brazil",5e+07,2009,0,1
"p057649","  brazil",7.5e+07,2005,0,1
"p050881","  brazil",3e+07,2010,0,1
"p049012","argentina ",18760000,2008,1,0
"p071323","mexico",755060000,2003,0,1
"p066321","mexico",581200000,2009,0,1
"p071243"," peru",1e+08,2001,1,0
"p044601"," peru",1.51e+08,2006,1,0
"p073882","  brazil",1300000,2004,1,0
"p070640","  brazil",404040000,2002,0,1
"p073294","  brazil",17671200,2008,0,1
"p053349","central america",24258564,2007,1,0
"p068134"," bolivia",2.07e+08,2003,1,0
"p048652"," guatemala",82500913,2008,0,1
"p063463","mexico",13250000,2006,0,1
"p057021","grenada",748000,2006,1,0
"p064906"," nicaragua",1.36e+08,2006,1,0
"p007397"," honduras",47800000,2007,0,1
"p064916"," nicaragua",16050000,2009,1,0
"p069964"," colombia",640770000,2005,1,0
"p055823"," nicaragua",40700000,2007,1,0
"p040109"," colombia",59230000,2009,0,1
"p070058","  uruguay",7550000,2008,0,1
"p063317"," colombia",3e+07,2007,1,0
"p065200"," peru",22749000,2007,1,0
"p068673"," nicaragua",87400000,2007,0,1
"p057416"," bolivia",3500000,2005,0,1
"p060474"," bolivia",43690000,2006,1,0
"p070016"," nicaragua",5850000,2006,1,0
"p060575","  brazil",757580000,2002,0,1
"p050595"," panama",58570000,2010,0,1
"p059566","  brazil",112500000,2008,1,0
"p059565","  brazil",1.16e+08,2003,0,1
"p055084"," guatemala",33300000,2009,0,1
"p070479","mexico",1305060000,2002,0,1
"p064895"," honduras",176050000,2006,0,1
"p065779","mexico",2.18e+08,2006,0,1
"p064614","argentina ",173790000,2008,0,1
"p064887","mexico",658350000,2004,1,0
"p050772","  brazil",436400000,2008,0,1
"p071112","jamaica",2.25e+08,2001,0,1
"p060908","mexico",90050000,2009,1,0
"p073035"," honduras",17000164.01,2006,1,0
"p066674","mexico",18700000.01,2008,1,0
"p068344","argentina ",5.18e+08,2006,0,1
"p057538"," honduras",106800000,2007,1,0
"p069922","grenada",11790000,2005,1,0
"p049924"," ecuador",50250000,2006,1,0
"p056390"," ecuador",3950000,2009,1,0
"p068753","dominican ",3430000,2005,1,0
"p057459","argentina ",8500000,2003,1,0
"p057473","argentina ",5880000,2006,0,1
"p044447","argentina ",70700000,2006,0,1
"p060785"," honduras",2.3e+07,2006,1,0
"p052021"," panama",5.9e+07,2009,1,0
"p040150","belize",18400000,2005,0,1
"p066749","a bolivariana de venezuela",1.5e+07,2004,0,1
"p064045"," ecuador",13090000,2004,0,1
"p070337"," ecuador",501520000,2003,0,1
"p066938","mexico",3870000,2005,0,1
"p052009"," costa rica",41230000,2006,0,1
"p061314"," costa rica",8e+06,2006,0,1
"p064915"," nicaragua",38280000,2005,0,1
"p063383","  uruguay",48090000,2007,0,1
"p065902"," bolivia",5800000,2005,1,0
"p050776","  brazil",1.5e+08,2007,0,1
"p064913"," honduras",12010000,2010,1,0
"p068762"," colombia",63714250,2005,0,1
"p056087"," nicaragua",10600000,2005,0,1
"p058303","  uruguay",4e+05,2005,1,0
"p057326"," colombia",6250000,2006,1,0
"p059510","dominican ",5e+06,2005,1,0
"p050578"," colombia",4e+07,2006,0,1
"p064901","  brazil",505060000,2000,0,1
"p063341","  brazil",505060000,2000,0,1
"p065263"," colombia",530700000,2004,1,0
"p063390","  uruguay",80900000,2000,0,1
"p060499"," peru",6700000,2004,0,1
"p062619","  brazil",5050000,2004,0,1
"p049296"," nicaragua",28150000,2004,0,1
"p039199","  brazil",47300000,2007,0,1
"p006449","  brazil",247200000,2011,1,0
"p060718","mexico",2.5e+07,2006,1,0
"p062932"," peru",129600000,2006,0,1
"p057530","mexico",7.3e+07,2005,0,1
"p066867","mexico",1006070000,2001,0,1
"p067491","mexico",755060000,2001,0,1
"p035741","  brazil",3e+07,2006,0,1
"p063388","argentina ",7070000,2002,0,1
"p047690"," peru",13820000,2005,0,1
"p055853"," nicaragua",15900000,2006,0,1
"p063643"," colombia",1.006e+09,2001,0,1
"p057272","  guyana",5600000,2002,0,1
"p055482","argentina ",60779000,2006,0,1
"p039200","  brazil",634000,2004,1,0
"p047309","  brazil",3.5e+07,2006,1,0
"p050613"," nicaragua",52500000,2005,0,1
"p054939","st lucia",6500000,2004,0,1
"p044140"," colombia",117200000,2009,1,0
"p052736","dominican ",21700000,2006,0,1
"p057601","a bolivariana de venezuela",2e+07,2006,0,1
"p065596"," peru",9e+08,2000,0,1
"p054125"," colombia",8652000,2006,1,0
"p057350"," honduras",13900000,2005,0,1
"p048869","  brazil",3.08e+08,2007,0,1
"p060392"," bolivia",2.5e+07,2003,0,1
"p062790"," bolivia",7.2e+07,2007,0,1
"p050763","  brazil",4.02e+08,2005,0,1
"p055230"," bolivia",1.2e+08,2005,0,1
"p006046","argentina ",4.7e+07,2007,1,0
"p006570","  brazil",15327388.2,2007,0,1
"p055388","  brazil",4.4e+07,2003,0,1
"p058526","argentina ",6900000,2001,0,1
"p063386"," chile",1.5e+07,2002,0,1
"p055461","argentina ",1e+07,2005,0,1
"p040108"," trinidad and tobago",23200000,2006,0,1
"p045048","argentina ",1e+07,2009,1,0
"p006043","argentina ",60500000,2012,1,0
"p007610","mexico",505500000,2005,0,1
"p052080"," nicaragua",1.5e+07,2004,1,0
"p054462"," guatemala",77300000,2005,0,1
"p063351","  brazil",2.53e+08,1999,0,1
"p063340","  brazil",757600000,1999,0,1
"p064084"," nicaragua",5e+07,2000,0,1
"p048505","mexico",5.55e+08,2003,0,1
"p055480"," chile",23100000,2004,0,1
"p064083"," honduras",2e+08,2005,0,1
"p057449","argentina ",43300000,2007,0,1
"p069633"," dominica",6030000,2002,1,0
"p062668","st kitts and nevis",10080000,2003,1,0
"p063201","dominican ",1.25e+08,2003,1,0
"p070430","st lucia",7680000,2003,1,0
"p049616"," guatemala",38800000,2007,0,1
"p057030"," bolivia",4e+07,2002,0,1
"p050608"," panama",6.1e+07,1999,0,1
"p040198"," guatemala",6.4e+07,2003,0,1
"p062992","argentina ",505050000,2003,0,1
"p040197"," nicaragua",165700000,2003,0,1
"p062991","argentina ",2525250000,2002,0,1
"p055481"," chile",241400000,2005,0,1
"p047039"," guatemala",49700000,2007,0,1
"p040174","a bolivariana de venezuela",152900000,2006,0,1
"p057271","  guyana",10200000,2002,0,1
"p006058","argentina ",104328571.4,2005,0,1
"p063551","  brazil",1e+06,1999,0,1
"p049267","  uruguay",1.45e+08,2003,0,1
"p043874","  brazil",2e+08,2004,0,1
"p053706"," panama",123800000,2003,0,1
"p054120","  brazil",3e+08,2003,0,1
"p058129","  brazil",2.7e+07,2004,0,1
"p044289","  brazil",2600000,2008,0,1
"p039086"," peru",66300000,2004,0,1
"p050576"," colombia",7800000,2003,0,1
"p041994","  uruguay",4e+07,2004,0,1
"p049386"," guatemala",37600000,2006,0,1
"p040179"," panama",6e+06,2005,0,1
"p048651"," honduras",159500000,2003,0,1
"p039082"," colombia",572300000,2001,0,1
"p007720","mexico",6.25e+08,2002,0,1
"p057910","  brazil",1e+07,2005,0,1
"p049269","argentina ",1.077e+09,2002,0,1
"p055061","mexico",3e+07,2002,0,1
"p046031"," colombia",6250000,2000,0,1
"p057396"," bolivia",3.2e+07,2005,0,1
"p045937"," panama",12800000,2005,0,1
"p006204"," bolivia",1e+08,2006,0,1
"p044531","mexico",662800000,2005,0,1
"p053243"," colombia",5e+06,2003,0,1
"p006861"," colombia",1.25e+08,2004,0,1
"p040106"," ecuador",42600000,2003,0,1
"p046006","mexico",4e+08,1999,0,1
"p039084"," ecuador",56250000,2006,0,1
"p040199","mexico",1.15e+08,2001,0,1
"p035730","organization of eastern caribbean states",1e+07,2004,0,1
"p053705"," nicaragua",108500000,2005,0,1
"p049895","mexico",287900000,2006,0,1
"p035753"," nicaragua",3.2e+07,2004,0,1
"p040085"," bolivia",77300000,2006,0,1
"p050612"," el salvador",1e+08,2006,0,1
"p040033","  brazil",1.36e+09,1999,0,1
"p041807","a bolivariana de venezuela",9850000,2006,0,1
"p055974"," bolivia",27500000,2001,0,1
"p007777"," nicaragua",7e+07,2000,0,1
"p050714","argentina ",1.7e+08,2002,0,1
"p050713","argentina ",5e+06,2005,0,1
"p006559","  brazil",95100000,2004,0,1
"p038895","  brazil",236600000,2009,1,0
"p050762","  brazil",1.25e+08,2001,0,1
"p052590","argentina ",9.29e+08,2005,0,1
"p035733","dominican ",3620000,2002,0,1
"p043420","  brazil",2.8e+07,2008,1,0
"p043421","  brazil",3.73e+08,2009,0,1
"p039876"," costa rica",1.1e+07,2005,1,0
"p006050","argentina ",2.4e+07,2005,0,1
"p055477","argentina ",46500000,2001,0,1
"p050717","  uruguay",1e+08,1998,0,1
"p040086"," ecuador",5e+07,2003,0,1
"p007135"," ecuador",32300000,2005,1,0
"p007711","mexico",2.4e+07,2003,0,1
"p055935","argentina ",6e+07,2004,0,1
"p051124"," panama",43800000,2004,0,1
"p007015","dominican ",4.2e+07,2004,0,1
"p044325","a bolivariana de venezuela",7300000,2001,0,1
"p048657"," guatemala",15700000,2002,0,1
"p006549","  brazil",2.086e+09,2000,0,1
"p038947","  brazil",3.1e+08,2004,0,1
"p055571"," ecuador",1.71e+08,2000,1,0
"p035737"," guatemala",136500000,2007,0,1
"p040107"," peru",3.2e+07,2002,0,1
"p054667"," peru",1.4e+08,2000,0,1
"p042565","  brazil",1.17e+08,2006,0,1
"p051701","  brazil",8e+07,2004,0,1
"p035743","a bolivariana de venezuela",4.5e+07,2004,0,1
"p048357","  brazil",24600000,2003,0,1
"p050429","mexico",1.3e+07,2006,1,0
"p046112"," colombia",10400000,2003,0,1
"p006891"," colombia",57200000,2006,0,1
"p006474","  brazil",1.23e+08,2008,0,1
"p039787","argentina ",21900000,2008,1,0
"p044343"," honduras",9500000,2005,1,0
"p035728","  brazil",8.5e+07,2005,1,0
"p041680"," el salvador",77100000,2005,0,1
"p039983"," paraguay",55700000,2007,1,0
"p048654"," guatemala",28200000,2007,0,1
"p006006","argentina ",1e+08,1999,0,1
"p051693","argentina ",7.5e+07,1999,0,1
"p051694","argentina ",5e+07,2000,0,1
"p051695","argentina ",7.5e+07,2000,0,1
"p040110"," bolivia",2.1e+07,2003,0,1
"p006041","argentina ",1.08e+08,2011,0,1
"p039197","  brazil",5.9e+09,1998,0,1
"p043163","mexico",8.63e+08,2004,0,1
"p039203","  uruguay",1.52e+08,2006,0,1
"p041790"," nicaragua",15800000,2005,0,1
"p006884"," colombia",12500000,2003,0,1
"p049268","argentina ",2e+08,1999,0,1
"p007837"," panama",8e+07,2004,0,1
"p048870","  brazil",2.81e+08,2001,0,1
"p006532","  brazil",1.25e+09,2005,0,1
"p046052","  brazil",1.2e+07,2002,1,0
"p052209","mexico",30300000,1998,1,0
"p043873","  brazil",1.2e+08,2005,0,1
"p043418","argentina ",3e+07,2003,0,1
"p007223"," guatemala",46800000,2003,0,1
"p034578","  brazil",167900000,2005,0,1
"p039584","argentina ",4e+08,2011,0,1
"p006059","argentina ",128300000,2005,0,1
"p007847"," panama",3.9e+07,2004,1,0
"p007726","mexico",58600000,2002,0,1
"p006475","  brazil",1.5e+08,2002,0,1
"p048756"," guatemala",18500000,2004,0,1
"p006010","argentina ",357200000,2010,0,1
"p043868","  brazil",208400000,2005,1,0
"p007398"," honduras",41800000,2004,0,1
"p039292","belize",11700000,2003,0,1
"p006562","  brazil",2.22e+08,2004,0,1
"p040739","caribbean",6700000,2002,1,0
"p039196","  brazil",4.61e+08,1998,0,1
"p040102"," colombia",3.3e+07,2004,0,1
"p007700","mexico",23600000,2003,0,1
"p008064"," peru",1e+08,1997,0,1
"p040123"," peru",1.83e+08,1997,0,1
"p046821","argentina ",2e+07,2005,0,1
"p042442"," peru",93200000,2004,1,0
"p005920","argentina ",28900000,2014,1,0
"p035722","dominican ",122500000,2003,0,1
"p041820","mexico",4e+08,1997,0,1
"p042566","  brazil",5.2e+07,2001,0,1
"p043871","  brazil",4e+07,2001,0,1
"p038896","  brazil",3.2e+07,2002,0,1
"p006052","argentina ",4.2e+08,2006,0,1
"p044445","argentina ",3e+08,1998,0,1
"p037961","  brazil",17700000,2007,0,1
"p007732","mexico",1.03e+08,2000,0,1
"p041971"," haiti",2.4e+07,2002,0,1
"p007326"," haiti",21500000,2001,0,1
"p005980","argentina ",1.5e+09,2006,0,1
"p007790"," nicaragua",40400000,2002,0,1
"p007927"," paraguay",27100000,2004,0,1
"p039029","jamaica",37600000,2001,0,1
"p040808","argentina ",3e+07,2007,0,1
"p007164"," el salvador",51500000,2007,0,1
"p007490","jamaica",5.7e+07,2003,0,1
"p007131"," ecuador",2.1e+07,2005,0,1
"p038700","jamaica",38500000,2002,0,1
"p008037"," peru",1.09e+08,2009,0,1
"p036056"," ecuador",14300000,2002,0,1
"p040125"," peru",4.3e+08,2000,0,1
"p037828","  brazil",353500000,2006,1,0
"p040028","  brazil",6.31e+08,2002,0,1
"p007713","mexico",146500000,2005,1,0
"p006554","  brazil",7.5e+08,2003,0,1
"p007269","  guyana",19300000,2004,0,1
"p008224","a bolivariana de venezuela",71100000,2001,1,0
"p007788"," nicaragua",197400000,2000,0,1
"p006872"," colombia",183400000,2001,0,1
"p040909","argentina ",3.5e+08,1998,0,1
"p045687","argentina ",2.5e+07,2001,0,1
"p006210","  brazil",2e+07,2005,1,0
"p044597","  brazil",2.5e+07,2004,1,0
"p007128"," ecuador",10014000,2001,0,1
"p007832"," panama",5.8e+07,2002,0,1
"p041915"," panama",3e+07,1996,0,1
"p007174"," el salvador",7.7e+07,2005,0,1
"p034607"," honduras",16700000,2000,0,1
"p007387"," honduras",2.1e+08,2001,0,1
"p006206"," bolivia",4.8e+07,2001,1,0
"p006676"," chile",3.5e+07,2000,0,1
"p039291"," colombia",2e+07,2002,0,1
"p006057","argentina ",164400000,2004,0,1
"p006969"," dominica",7900000,2001,0,1
"p043923","grenada",9900000,2001,0,1
"p006186"," bolivia",2.2e+07,2004,0,1
"p037047"," peru",2.67e+08,2000,0,1
"p006191"," bolivia",5100000,1999,0,1
"p034606"," bolivia",19300000,1998,0,1
"p038883","argentina ",74200000,1999,0,1
"p037049","argentina ",16500000,2006,0,1
"p035495","argentina ",417900000,1998,0,1
"p006887"," colombia",249300000,2008,0,1
"p035312"," trinidad and tobago",78430000,2003,0,1
"p006894"," colombia",499300000,2004,1,0
"p035494","dominican ",1e+08,2003,0,1
"p008177","  uruguay",2.36e+08,2006,0,1
"p006040","argentina ",26200000,2006,0,1
"p007169"," el salvador",80200000,2001,0,1
"p038932","jamaica",2.1e+07,1998,1,0
"p040824"," el salvador",1.6e+07,2004,0,1
"p007689","mexico",443400000,2002,0,1
"p007923"," paraguay",40500000,2001,0,1
"p040685","mexico",4.6e+07,1999,0,1
"p006030","argentina ",144700000,2001,0,1
"p006202"," bolivia",3.1e+07,1999,0,1
"p006055","argentina ",4e+07,2001,0,1
"p040904","argentina ",5e+08,1998,0,1
"p035715","a bolivariana de venezuela",5400000,1998,0,1
"p006512","  brazil",5e+07,2000,1,0
"p037709"," honduras",112600000,1999,0,1
"p041583"," haiti",56400000,1997,0,1
"p039455","st lucia",7100000,1997,1,0
"p038916"," nicaragua",102400000,1998,0,1
"p007173"," el salvador",77400000,2002,1,0
